gene1,gene2,pvalue,logOR,++,+-,-+,--,padj
PIK3CA,ERBB2,0.00329710680240377,-0.662997898634824,22,490,137,1572,0.0593479224432679
PIK3CA,MYC,0.0269251725237647,-0.811915122902636,8,504,59,1650,0.165955821722556
PIK3CA,FGFR1,0.00151079776604515,-0.918782706251068,12,500,97,1612,0.0543887195776254
PIK3CA,CCND1,0.488948000285381,0.344740595054704,8,504,19,1690,1
PIK3CA,CCNE1,0.827067833698839,0.060995025593495,7,505,22,1687,1
PIK3CA,BRCA1,0.0291861579492511,-1.23626867478572,3,509,34,1675,0.165955821722556
PIK3CA,BRCA2,0.0284134565815845,-1.11275982005679,4,508,40,1669,0.165955821722556
PIK3CA,AKT1,0.00945825050502615,-1.40233943394536,3,509,40,1669,0.113499006060314
ERBB2,MYC,1,-0.199802091839219,4,155,63,1999,1
ERBB2,FGFR1,1,-0.122205563295591,7,152,102,1960,1
ERBB2,CCND1,1,0.037252030477924,2,157,25,2037,1
ERBB2,CCNE1,0.718193348363379,-0.776785360723109,1,158,28,2034,1
ERBB2,BRCA1,1,-0.304043960948171,2,157,35,2027,1
ERBB2,BRCA2,0.367535115784316,-1.21309973670125,1,158,43,2019,1
ERBB2,AKT1,0.364434273384479,-1.18907788785295,1,158,42,2020,1
MYC,FGFR1,0.139876297421117,0.671842008808083,6,61,103,2051,0.629443338395027
MYC,CCND1,1,-Inf,0,67,27,2127,1
MYC,CCNE1,0.217200680481096,0.884769367032585,2,65,27,2127,0.868802721924386
MYC,BRCA1,0.307776535164024,0.621768659963403,2,65,35,2119,1
MYC,BRCA2,0.64200071920293,-Inf,0,67,44,2110,1
MYC,AKT1,1,-0.271829184565693,1,66,42,2112,1
FGFR1,CCND1,1,-0.297116080888385,1,108,26,2086,1
FGFR1,CCNE1,0.397658367448269,-Inf,0,109,29,2083,1
FGFR1,BRCA1,0.0322691875571638,1.13858220744066,5,104,32,2080,0.165955821722556
FGFR1,BRCA2,0.474552128249776,0.357189364856085,3,106,41,2071,1
FGFR1,AKT1,1,-0.0574423362964596,2,107,41,2071,1
CCND1,CCNE1,1,-Inf,0,27,29,2165,1
CCND1,BRCA1,1,-Inf,0,27,37,2157,1
CCND1,BRCA2,0.419278290155832,0.653992505097038,1,26,43,2151,1
CCND1,AKT1,1,-Inf,0,27,43,2151,1
CCNE1,BRCA1,0.387562877422226,0.759794896240075,1,28,36,2156,1
CCNE1,BRCA2,1,-Inf,0,29,44,2148,1
CCNE1,AKT1,1,-Inf,0,29,43,2149,1
BRCA1,BRCA2,1,-Inf,0,37,44,2140,1
BRCA1,AKT1,1,-Inf,0,37,43,2141,1
BRCA2,AKT1,1,-Inf,0,44,43,2134,1
