gene1,gene2,pvalue,logOR,++,+-,-+,--,padj
KRAS,PIK3CA,1.30954162079577e-15,0.950223185250183,225,538,144,891,1.83335826911408e-14
KRAS,BRAF,0.216787807159558,0.147443012738049,169,594,204,831,0.252919108352817
KRAS,ERBB2,0.662433431494446,-0.0715172139852879,90,673,130,905,0.74192544327378
KRAS,NRAS,0.148894180390388,-0.318623573999653,36,727,66,969,0.181262480475255
KRAS,FGFR1,0.704350980774969,0.0587986895330196,87,676,112,923,0.758531825449966
KRAS,FGFR2,0.145207035277065,0.289184796129458,57,706,59,976,0.181262480475255
KRAS,MET,0.0295298475552936,0.303901466417926,117,646,122,913,0.041341786577411
PIK3CA,BRAF,2.45371637422842e-09,0.806011317722666,120,249,253,1176,1.71760146195989e-08
PIK3CA,ERBB2,0.00000281258488397704,0.765349460665334,73,296,147,1282,0.0000112503395359082
PIK3CA,NRAS,0.130375255431896,0.354140561921601,27,342,75,1354,0.173833673909195
PIK3CA,FGFR1,0.0196068437902085,0.4171581806588,54,315,145,1284,0.0288942961118862
PIK3CA,FGFR2,0.000119346426287277,0.81334616339233,41,328,75,1354,0.000303790903276704
PIK3CA,MET,0.000546771633284072,0.55663936798104,70,299,169,1260,0.00109354326656814
BRAF,ERBB2,0.00000480055185453751,0.748816586869578,73,300,147,1278,0.0000143669338889983
BRAF,NRAS,0.0052610435980976,0.645384065451548,33,340,69,1356,0.00920682629667079
BRAF,FGFR1,2.05397114414566e-13,1.19639444042512,84,289,115,1310,1.91703973453595e-12
BRAF,FGFR2,0.000000170829679109199,1.08010685459766,48,325,68,1357,0.000000956646203011514
BRAF,MET,3.48494925655516e-35,1.84231103161748,129,244,110,1315,9.75785791835444e-34
ERBB2,NRAS,0.876185533754103,0.0494357166351208,13,207,89,1489,0.876185533754103
ERBB2,FGFR1,0.0000051310478174994,0.900363710031813,46,174,153,1425,0.0000143669338889983
ERBB2,FGFR2,0.00175635311946347,0.795049621288979,26,194,90,1488,0.00327852582299848
ERBB2,MET,0.000414622631413461,0.673102991436376,47,173,192,1386,0.000893033359967454
NRAS,FGFR1,0.87054824782295,-0.142980681049352,10,92,189,1507,0.876185533754103
NRAS,FGFR2,0.0194204063386707,0.814286923321072,13,89,103,1593,0.0288942961118862
NRAS,MET,0.00973199941312561,0.690106724325268,23,79,216,1480,0.0160291755039716
FGFR1,FGFR2,0.000308166134222116,0.923506097591316,26,173,90,1509,0.000719054313184937
FGFR1,MET,0.00000391063339575126,0.884155243267163,49,150,190,1409,0.0000136872168851294
FGFR2,MET,0.000000232892503166779,1.18649240804392,36,80,203,1479,0.00000108683168144497
