gene1,gene2,pvalue,logOR,++,+-,-+,--,padj
KRAS,PIK3CA,0.526909129942689,-0.260060229656608,10,277,65,1388,1
KRAS,BRAF,0.00000949471360429087,-2.79928643336532,1,286,79,1374,0.000265851980920144
KRAS,ERBB2,0.0249406533228621,-1.25619338201794,3,284,52,1401,0.232779431013379
KRAS,NRAS,0.00616070229964436,-Inf,0,287,32,1421,0.086249832195021
KRAS,FGFR1,0.604653485069982,-0.463452707947143,3,284,24,1429,1
KRAS,FGFR2,0.489056132649222,-1.02293666309454,1,286,14,1439,1
KRAS,MET,0.104257312170998,-1.16551484024428,2,285,32,1421,0.601011923644956
PIK3CA,BRAF,1,-0.151555345259476,3,72,77,1588,1
PIK3CA,ERBB2,1,-0.182283301818259,2,73,53,1612,1
PIK3CA,NRAS,0.397673585495263,-Inf,0,75,32,1633,1
PIK3CA,FGFR1,0.107323557793742,1.04598483850873,3,72,24,1641,0.601011923644956
PIK3CA,FGFR2,0.485023300521076,0.465671754317623,1,74,14,1651,1
PIK3CA,MET,1,-0.402830848725341,1,74,33,1632,1
BRAF,ERBB2,0.176661608078059,-Inf,0,80,55,1605,0.824420837697609
BRAF,NRAS,1,-0.407532899415842,1,79,31,1629,1
BRAF,FGFR1,0.632697490955877,-Inf,0,80,27,1633,1
BRAF,FGFR2,1,-Inf,0,80,15,1645,1
BRAF,MET,1,-0.471260984840399,1,79,33,1627,1
ERBB2,NRAS,0.622856166372752,-Inf,0,55,32,1653,1
ERBB2,FGFR1,1,-Inf,0,55,27,1658,1
ERBB2,FGFR2,1,-Inf,0,55,15,1670,1
ERBB2,MET,1,-0.0757080518518309,1,54,33,1652,1
NRAS,FGFR1,1,-Inf,0,32,27,1681,1
NRAS,FGFR2,1,-Inf,0,32,15,1693,1
NRAS,MET,1,-Inf,0,32,34,1674,1
FGFR1,FGFR2,1,-Inf,0,27,15,1698,1
FGFR1,MET,1,-Inf,0,27,34,1679,1
FGFR2,MET,0.257115282960039,1.2967701873186,1,14,33,1692,1
