gene1,gene2,pvalue,logOR,++,+-,-+,--,padj
APC,TP53,6.69186678008913e-09,0.576500820695034,596,250,545,407,5.01890008506684e-08
APC,KRAS,3.11398615154866e-21,0.917368906372132,458,388,305,647,7.00646884098449e-20
APC,PIK3CA,0.000109895248709672,0.456973951638764,207,639,162,790,0.000380406630148864
APC,BRAF,0.102733987034359,0.196353831125641,190,656,183,769,0.140091800501398
APC,ERBB2,0.0606860730336403,0.279666269256897,117,729,103,849,0.0880926866617359
APC,NRAS,0.000682940678994819,0.721430039226417,65,781,37,915,0.00146344431213176
APC,FGFR1,0.000510612414282434,0.531960337936306,117,729,82,870,0.00127653103570609
APC,FGFR2,0.336291910742157,0.199861609158209,60,786,56,896,0.398240420615712
APC,MET,0.000283113683174672,0.515553232267825,139,707,100,852,0.000849341049524016
TP53,KRAS,0.00179161226436436,0.314939980335163,516,625,247,410,0.00335927299568317
TP53,PIK3CA,0.585466995756678,0.071493494090873,239,902,130,527,0.675538841257706
TP53,BRAF,0.000575439180430825,0.430096654752679,265,876,108,549,0.00129473815596936
TP53,ERBB2,0.100027865756795,0.262052958330641,151,990,69,588,0.140091800501398
TP53,NRAS,0.75105366776927,-0.0767569781664155,63,1078,39,618,0.804700358324218
TP53,FGFR1,0.00378380988955443,0.485663345721551,145,996,54,603,0.00681085780119798
TP53,FGFR2,1,0.0154034349209018,74,1067,42,615,1
TP53,MET,0.00115736804535706,0.493714368244293,174,967,65,592,0.00236734372913945
KRAS,PIK3CA,1.30954162079577e-15,0.950223185250183,225,538,144,891,1.96431243119366e-14
KRAS,BRAF,0.216787807159558,0.147443012738049,169,594,204,831,0.263660846545408
KRAS,ERBB2,0.662433431494446,-0.0715172139852879,90,673,130,905,0.745237610431252
KRAS,NRAS,0.148894180390388,-0.318623573999653,36,727,66,969,0.186117725487985
KRAS,FGFR1,0.704350980774969,0.0587986895330196,87,676,112,923,0.773068149631063
KRAS,FGFR2,0.145207035277065,0.289184796129458,57,706,59,976,0.186117725487985
KRAS,MET,0.0295298475552936,0.303901466417926,117,646,122,913,0.0442947713329404
PIK3CA,BRAF,2.45371637422842e-09,0.806011317722666,120,249,253,1176,2.20834473680558e-08
PIK3CA,ERBB2,0.00000281258488397704,0.765349460665334,73,296,147,1282,0.0000140629244198852
PIK3CA,NRAS,0.130375255431896,0.354140561921601,27,342,75,1354,0.172555485130451
PIK3CA,FGFR1,0.0196068437902085,0.4171581806588,54,315,145,1284,0.0304244127779098
PIK3CA,FGFR2,0.000119346426287277,0.81334616339233,41,328,75,1354,0.000383613513066247
PIK3CA,MET,0.000546771633284072,0.55663936798104,70,299,169,1260,0.00129473815596936
BRAF,ERBB2,0.00000480055185453751,0.748816586869578,73,300,147,1278,0.0000192414293156227
BRAF,NRAS,0.0052610435980976,0.645384065451548,33,340,69,1356,0.00910565238132276
BRAF,FGFR1,2.05397114414566e-13,1.19639444042512,84,289,115,1310,2.31071753716387e-12
BRAF,FGFR2,0.000000170829679109199,1.08010685459766,48,325,68,1357,0.00000109819079427342
BRAF,MET,3.48494925655516e-35,1.84231103161748,129,244,110,1315,1.56822716544982e-33
ERBB2,NRAS,0.876185533754103,0.0494357166351208,13,207,89,1489,0.896098841339424
ERBB2,FGFR1,0.0000051310478174994,0.900363710031813,46,174,153,1425,0.0000192414293156227
ERBB2,FGFR2,0.00175635311946347,0.795049621288979,26,194,90,1488,0.00335927299568317
ERBB2,MET,0.000414622631413461,0.673102991436376,47,173,192,1386,0.00109753049491798
NRAS,FGFR1,0.87054824782295,-0.142980681049352,10,92,189,1507,0.896098841339424
NRAS,FGFR2,0.0194204063386707,0.814286923321072,13,89,103,1593,0.0304244127779098
NRAS,MET,0.00973199941312561,0.690106724325268,23,79,216,1480,0.016219999021876
FGFR1,FGFR2,0.000308166134222116,0.923506097591316,26,173,90,1509,0.000866717252499701
FGFR1,MET,0.00000391063339575126,0.884155243267163,49,150,190,1409,0.0000175978502808807
FGFR2,MET,0.000000232892503166779,1.18649240804392,36,80,203,1479,0.00000131002033031313
