gene1,gene2,pvalue,logOR,++,+-,-+,--,padj
KRAS,MET,0.663105543908156,-0.0712702903238576,62,598,270,2425,0.932492171120845
KRAS,EGFR,6.02463404077677e-33,-1.18732722320974,123,537,1156,1539,1.35554265917477e-31
KRAS,BRAF,0.228137079999736,0.169019925026768,78,582,274,2421,0.486033565281146
KRAS,ERBB2,0.0596106700914262,-0.329136225357018,43,617,238,2457,0.19160572529387
KRAS,ALK,0.733182689716168,-0.105836070734894,23,637,104,2591,0.970388854036104
KRAS,RET,0.880811427196243,-0.107884937156291,13,647,59,2636,1
KRAS,NF1,0.892001413655966,0.0159960983201435,77,583,310,2385,1
KRAS,ROS1,0.305137940362024,0.381989877018223,10,650,28,2667,0.572133638178795
KRAS,CDK4,1,0.000856922735612668,25,635,102,2593,1
MET,EGFR,0.000000369492578029381,0.593785394882484,170,162,1109,1914,0.00000554238867044071
MET,BRAF,1.0823953262436e-35,1.7925403246886,113,219,239,2784,4.87077896809621e-34
MET,ERBB2,0.00000330134204439161,0.81764229868828,52,280,229,2794,0.0000247600653329371
MET,ALK,0.448323638257983,0.206834301899219,15,317,112,2911,0.764632168885724
MET,RET,0.548132212743824,-0.393521380836161,5,327,67,2956,0.837701717281995
MET,NF1,0.00643742395998737,0.450360022940232,54,278,333,2690,0.0291894134996611
MET,ROS1,0.786119500348736,0.0696172328091844,4,328,34,2989,0.990420680821233
MET,CDK4,0.127143630462641,0.426759199718253,18,314,109,2914,0.316210242954265
EGFR,BRAF,0.000000551156397314161,0.569191716230746,178,1101,174,1902,0.00000620050946978432
EGFR,ERBB2,0.108587569476282,0.208172367381522,120,1159,161,1915,0.287437683907805
EGFR,ALK,0.020057529449978,-0.459119729757712,36,1243,91,1985,0.0694299096345393
EGFR,RET,0.000816138765271132,-0.954103527850906,14,1265,58,2018,0.00459078055465012
EGFR,NF1,0.133510991469579,-0.170410599958693,134,1145,253,1823,0.316210242954265
EGFR,ROS1,0.0113628005118166,-1.01300897675735,7,1272,31,2045,0.0464841839119768
EGFR,CDK4,0.00000935361160544768,0.818008112742519,73,1206,54,2022,0.0000601303603207351
BRAF,ERBB2,0.00000198249220427301,0.821873476676369,55,297,226,2777,0.0000178424298384571
BRAF,ALK,0.458779301331435,0.215580819117095,16,336,111,2892,0.764632168885724
BRAF,RET,0.55846781152133,0.202458453998439,9,343,63,2940,0.837701717281995
BRAF,NF1,0.332694056237177,0.159928040650061,46,306,341,2662,0.598849301226919
BRAF,ROS1,0.792336544656987,-0.316078853421055,3,349,35,2968,0.990420680821233
BRAF,CDK4,0.103230659985122,0.424753586584785,19,333,108,2895,0.287437683907805
ERBB2,ALK,0.512397133531288,-0.317810010707216,8,273,119,2955,0.823495393175284
ERBB2,RET,0.830446914234205,-0.206928406335981,5,276,67,3007,1
ERBB2,NF1,0.282906995450504,0.199612735340351,38,243,349,2725,0.553513686750986
ERBB2,ROS1,1,-0.0650570111744526,3,278,35,3039,1
ERBB2,CDK4,0.0128174654611595,0.688674365436205,19,262,108,2966,0.048065495479348
ALK,RET,0.195278504685871,0.659111522217794,5,122,67,3161,0.43937663554321
ALK,NF1,0.0874235002842425,0.437570106425358,21,106,366,2862,0.262270500852727
ALK,ROS1,1,-0.379021435551239,1,126,37,3191,1
ALK,CDK4,0.237616409693005,-0.923167570363878,2,125,125,3103,0.486033565281146
RET,NF1,0.711597699145843,0.0933876646185873,9,63,378,2905,0.97036049883524
RET,ROS1,1,-Inf,0,72,38,3245,1
RET,CDK4,1,-0.325892304752305,2,70,125,3158,1
NF1,ROS1,0.615860561933272,-0.423489070389444,3,384,35,2933,0.893991138290234
NF1,CDK4,0.00648653633325803,0.662714011639163,25,362,102,2866,0.0291894134996611
ROS1,CDK4,1,-0.379021435551238,1,37,126,3191,1
